JavaFile,CatchQuantity,CatchSLOC,CatchLOC,OverCatchAntiPattern,AbortAndOvercatch,CatchAndReturnNull,CatchAndDoNothing,CatchGeneric,DummyHandler,LogAndReturnNull,MultiLineLog,NestedTry,RelyingOnGetCause,IncompleteImplementation,DestructiveWrapping,CatchRecoverability
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/KerberosTestUtils.java,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestAuthenticatedURL.java,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,2
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/AuthenticatorTestCase.java,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestKerberosAuthenticator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestPseudoAuthenticator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationFilter.java,5,6,8,1,0,0,1,4,0,0,0,2,0,0,0,5
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestLdapAuthenticationHandler.java,3,3,4,1,0,0,1,2,0,0,0,0,0,0,0,3
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestPseudoAuthenticationHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestJWTRedirectAuthenticationHandler.java,20,20,20,9,0,0,0,10,0,0,0,0,0,0,0,20
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAltKerberosAuthenticationHandler.java,2,4,4,1,0,0,0,2,0,0,0,0,0,0,0,2
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestKerberosAuthenticationHandler.java,8,6,8,2,0,0,3,5,0,0,0,0,1,0,0,8
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/LdapConstants.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationToken.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestMultiSchemeAuthenticationHandler.java,3,2,3,1,0,0,1,2,0,0,0,0,0,0,0,3
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/StringSignerSecretProviderCreator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestRandomSignerSecretProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestStringSignerSecretProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestKerberosUtil.java,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,3
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestSigner.java,9,4,9,2,0,0,4,4,0,0,0,0,0,0,0,9
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestAuthToken.java,14,7,14,1,0,0,2,2,0,0,0,0,0,0,0,14
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestJaasConfiguration.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestRolloverSignerSecretProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestZKSignerSecretProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestFileSignerSecretProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/StringSignerSecretProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestCertificateUtil.java,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,3
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestKerberosName.java,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/RequestLoggerFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoServlet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoClient.java,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AWSStatus500Exception.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3ABlockOutputStream.java,6,15,20,2,0,1,0,4,0,0,0,0,0,0,0,6
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AInputPolicy.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3A.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AReadOpContext.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/Tristate.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/Statistic.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AStorageStatistics.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AUtils.java,10,14,16,1,0,2,0,9,1,0,0,0,1,0,0,10
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/Constants.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/CredentialInitializationException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/BasicAWSCredentialsProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/RenameFailedException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3ListRequest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
